2025-04-03 00:52:26.961 | DEBUG    | __main__:_mineru_get_upload_info:118 - Requesting upload info for Panoptic the perpetual oracle-free options proto.pdf
2025-04-03 00:52:28.101 | DEBUG    | __main__:_mineru_get_upload_info:129 - Obtained batch_id: 5e6b1f10-b301-41f5-886e-fa1647f7a1c1 for Panoptic the perpetual oracle-free options proto.pdf
2025-04-03 00:52:28.102 | DEBUG    | __main__:_mineru_upload_file:135 - Uploading Panoptic the perpetual oracle-free options proto.pdf to Mineru pre-signed URL...
2025-04-03 00:52:34.885 | DEBUG    | __main__:_mineru_poll_for_zip_url:172 - Polling batch acb5480b-582f-411b-a48d-5fc6038684c2 (attempt 4/25): state=done
2025-04-03 00:52:34.886 | INFO     | __main__:_mineru_poll_for_zip_url:181 - Mineru processing finished for batch acb5480b-582f-411b-a48d-5fc6038684c2
2025-04-03 00:52:34.886 | DEBUG    | __main__:_download_extract_and_convert:245 - Downloading result zip from https://cdn-mineru.openxlab.org.cn/pdf/c69d36c8-1822-49a5-9441-34bd52b90e56.zip
2025-04-03 00:52:35.504 | DEBUG    | __main__:_mineru_poll_for_zip_url:172 - Polling batch 2f4193ec-38bb-4ad4-ae99-86989e892ebc (attempt 4/25): state=running
2025-04-03 00:52:35.860 | DEBUG    | __main__:_mineru_poll_for_zip_url:172 - Polling batch f6887e9d-54cb-42c2-9fcf-8edecd6e73e8 (attempt 4/25): state=done
2025-04-03 00:52:35.861 | INFO     | __main__:_mineru_poll_for_zip_url:181 - Mineru processing finished for batch f6887e9d-54cb-42c2-9fcf-8edecd6e73e8
2025-04-03 00:52:35.861 | DEBUG    | __main__:_download_extract_and_convert:245 - Downloading result zip from https://cdn-mineru.openxlab.org.cn/pdf/9b9a4261-58a3-45c0-8ab2-92aed08dd0e4.zip
2025-04-03 00:52:36.511 | DEBUG    | __main__:_mineru_poll_for_zip_url:172 - Polling batch 2981ea60-96e2-4540-9fa6-1db5f2fc2848 (attempt 4/25): state=running
2025-04-03 00:52:38.601 | DEBUG    | __main__:_download_extract_and_convert:252 - Extracting zip result.zip to /tmp/mineru_LAMMbert_ma2pwcvb/extracted
2025-04-03 00:52:38.604 | DEBUG    | __main__:_run_pandoc_conversion:206 - Preparing Pandoc conversion for LAMMbert.epub
2025-04-03 00:52:38.604 | DEBUG    | __main__:_run_pandoc_conversion:221 - Running Pandoc: pandoc /tmp/mineru_LAMMbert_ma2pwcvb/temp_full.md -o /home/pimania/ebooks/epubArticles/LAMMbert.epub --webtex=https://latex.codecogs.com/svg.latex? -f markdown_github+tex_math_single_backslash+tex_math_dollars --embed-resources --standalone --resource-path /tmp/mineru_LAMMbert_ma2pwcvb/extracted --split-level=1 --epub-title-page=false
2025-04-03 00:52:38.969 | DEBUG    | __main__:_download_extract_and_convert:252 - Extracting zip result.zip to /tmp/mineru_AnyHedge Whitepaper_ubdlz6dk/extracted
2025-04-03 00:52:38.976 | DEBUG    | __main__:_run_pandoc_conversion:206 - Preparing Pandoc conversion for AnyHedge Whitepaper.epub
